word,meaning,level
Spoon,Cái thìa,A1
Knife,Con dao,A1
Bottle,Cái chai,A1
Glass,Cái ly,A1
Cup,Cái cốc,A1
Map,Bản đồ,A1
Page,Trang sách,A1
Letter,Lá thư,A1
Pen,Cái bút,A1
Loud,Ồn ào,A2
Quiet,Yên tĩnh,A2
Heavy,Nặng,A2
Light,Nhẹ/Ánh sáng,A2
Strong,Mạnh mẽ,A2
Weak,Yếu ớt,A2
Hard,Cứng/Khó khăn,A2
Soft,Mềm mại,A2
Full,Đầy,A2
Empty,Trống rỗng,A2
Near,Gần,A2
Far,Xa,A2
Right,Đúng/Bên phải,A2
Left,Bên trái,A2
TRUE,Đúng sự thật,A2
FALSE,Sai sự thật,A2
Safe,An toàn,A2
Dangerous,Nguy hiểm,A2
Early,Sớm,A2
Late,Muộn,A2
Debt,Món nợ,B1
Decision,Quyết định,B1
Degree,Bằng cấp/Nhiệt độ,B1
Delay,Sự trì hoãn,B1
Demand,Nhu cầu/Yêu cầu,B1
Department,Phòng ban,B1
Depth,Độ sâu,B1
Description,Sự miêu tả,B1
Desert,Sa mạc,B1
Design,Thiết kế,B1
Desire,Khao khát,B1
Detail,Chi tiết,B1
Device,Thiết bị,B1
Diamond,Kim cương,B1
Diet,Chế độ ăn kiêng,B1
Difficulty,Sự khó khăn,B1
Direction,Phương hướng,B1
Director,Giám đốc/Đạo diễn,B1
Disaster,Thảm họa,B1
Disease,Căn bệnh,B1
Distance,Khoảng cách,B1
Duty,Nhiệm vụ/Thuế,B1
Earth,Trái đất,B1
Effort,Nỗ lực,B1
Election,Cuộc bầu cử,B1
Decline,Suy giảm/Từ chối,B2
Define,Định nghĩa,B2
Demonstrate,Chứng minh/Biểu tình,B2
Deny,Phủ nhận,B2
Depend,Phụ thuộc,B2
Destroy,Phá hủy,B2
Determine,Xác định/Quyết tâm,B2
Develop,Phát triển,B2
Differ,Khác biệt,B2
Disappear,Biến mất,B2
Discover,Khám phá,B2
Discuss,Thảo luận,B2
Display,Trưng bày/Hiển thị,B2
Divide,Phân chia,B2
Doubt,Nghi ngờ,B2
Educate,Giáo dục,B2
Effect,Hiệu ứng/Kết quả,B2
Emphasize,Nhấn mạnh,B2
Employ,Thuê mướn/Sử dụng,B2
Enable,Cho phép/Làm cho có thể,B2
Encourage,Khuyến khích,B2
Engage,Tham gia/Đính hôn,B2
Enhance,Nâng cao/Tăng cường,B2
Ensure,Đảm bảo,B2
Establish,Thành lập/Thiết lập,B2
Eclipse,Sự che khuất/Nhật thực,C1
Ecstasy,Sự ngây ngất,C1
Edifice,Công trình kiến trúc đồ sộ,C1
Efficacy,Tính hiệu quả,C1
Ego,Cái tôi/Bản ngã,C1
Elaborate,Tỉ mỉ/Giải thích chi tiết,C1
Elevate,Nâng lên/Đưa lên,C1
Elicit,Khơi ra/Moi ra,C1
Eligible,Đủ điều kiện,C1
Eliminate,Loại bỏ/Tiêu diệt,C1
Eloquent,Có tài hùng biện,C1
Elude,Lẩn tránh/Lảng tránh,C1
Emanate,Tỏa ra/Phát ra,C1
Embark,Lên tàu/Bắt đầu,C1
Embed,Cấy vào/Nhúng vào,C1
Embody,Hiện thân của,C1
Embrace,Ôm trọn/Đón nhận,C1
Emerge,Nổi lên/Xuất hiện,C1
Emit,Phát ra (ánh sáng/mùi),C1
Empower,Trao quyền,C1
Emulate,Tích cực noi gương,C1
Enact,Ban hành (đạo luật),C1
Encompass,Bao gồm/Chứa đựng,C1
Endeavor,Sự cố gắng/Nỗ lực,C1
Endorse,Tán thành/Chứng thực,C1
Salubrious,Lành mạnh/Tốt cho sức khỏe,C2
Sanguine,Lạc quan/Đầy hy vọng,C2
Sardonic,Nhạo báng/Mỉa mai,C2
Scintillating,Sắc sảo/Lấp lánh,C2
Scurrilous,Thô bỉ/Tục tĩu,C2
Sedulous,Cần mẫn/Siêng năng,C2
Solicitous,Ân cần/Lo âu,C2
Somnolent,Buồn ngủ/Gây ngủ,C2
Specious,Có vẻ đúng nhưng thực ra sai,C2
Spurious,Giả mạo/Ngụy tạo,C2
Squalid,Dơ dáy/Tồi tàn,C2
Staid,Trầm tĩnh/Đứng đắn,C2
Stentorian,Oang oang/Rất to (giọng nói),C2
Stolid,Dửng dưng/Không cảm xúc,C2
Stricture,Sự phê bình gay gắt,C2
Strident,Chói tai/Gay gắt,C2
Stultify,Làm mụ mẫm/Làm mất tác dụng,C2
Supercilious,Kiêu kỳ/Khinh khỉnh,C2
Surreptitious,Lén lút/Vụng trộm,C2
Sycophant,Kẻ bợ đỡ/Nịnh hót,C2
Tacit,Ngầm/Không nói ra,C2
Taciturn,Ít nói/Lầm lì,C2
Tantamount,Tương đương với,C2
Temerity,Sự liều lĩnh/Táo bạo,C2
Tenuous,Mỏng manh/Yếu ớt,C2
Potato,Khoai tây,A1
Tomato,Cà chua,A1
Onion,Hành tây,A1
Garlic,Tỏi,A1
Carrot,Củ cà rốt,A1
Beef,Thịt bò,A1
Pork,Thịt lợn,A1
Butter,Bơ,A1
Cake,Bánh ngọt,A1
Cookie,Bánh quy,A1
Chocolate,Sô cô la,A1
Pants,Quần dài,A1
Dress,Váy liền,A1
Skirt,Chân váy,A1
Shoe,Chiếc giày,A1
Sock,Chiếc tất,A1
Coat,Áo choàng,A1
Jacket,Áo khoác,A1
Ring,Cái nhẫn,A1
Watch,Đồng hồ đeo tay,A1
Clock,Đồng hồ treo tường,A1
Time,Thời gian,A1
Hour,Giờ,A1
Minute,Phút,A1
Second,Giây,A1
Day,Ngày,A1
Week,Tuần,A1
Month,Tháng,A1
Year,Năm,A1
Monday,Thứ Hai,A1
Tuesday,Thứ Ba,A1
Wednesday,Thứ Tư,A1
Thursday,Thứ Năm,A1
Friday,Thứ Sáu,A1
Saturday,Thứ Bảy,A1
Sunday,Chủ Nhật,A1
Above,Phía trên,A2
Below,Phía dưới,A2
Under,Dưới,A2
Over,Qua/Trên,A2
Between,Ở giữa,A2
Behind,Đằng sau,A2
Front,Phía trước,A2
Back,Phía sau,A2
Middle,Ở giữa,A2
Next,Tiếp theo,A2
Beside,Bên cạnh,A2
Near,Gần,A2
Far,Xa,A2
Soon,Sớm/Chẳng bao lâu,A2
Later,Sau đó,A2
Always,Luôn luôn,A2
Never,Không bao giờ,A2
Often,Thường xuyên,A2
Sometimes,Thỉnh thoảng,A2
Usually,Thông thường,A2
Quickly,Một cách nhanh chóng,A2
Slowly,Một cách chậm rãi,A2
Loudly,Ồn ào/Lớn tiếng,A2
Quietly,Một cách yên tĩnh,A2
Carefully,Một cách cẩn thận,A2
Well,Tốt/Khỏe,A2
Badly,Tồi tệ/Nặng nề,A2
Easy,Dễ dàng,A2
Hard,Cứng/Khó khăn,A2
Simple,Đơn giản,A2
Access,Sự truy cập,B1
Accident,Tai nạn,B1
Active,Năng động,B1
Actor,Nam diễn viên,B1
Actual,Thực tế,B1
Admit,Thừa nhận,B1
Adult,Người lớn,B1
Advance,Sự thăng tiến/Tiến lên,B1
Advantage,Lợi thế,B1
Advice,Lời khuyên,B1
Agency,Đại lý/Cơ quan,B1
Agent,Đại diện/Đặc vụ,B1
Agree,Đồng ý,B1
Ahead,Phía trước,B1
Allow,Cho phép,B1
Almost,Hầu như,B1
Alone,Một mình,B1
Along,Dọc theo,B1
Already,Đã rồi,B1
Also,Cũng/Ngoài ra,B1
Amount,Số lượng,B1
Animal,Động vật,B1
Another,Khác/Cái khác,B1
Answer,Câu trả lời,B1
Anyone,Bất cứ ai,B1
Anything,Bất cứ điều gì,B1
Appear,Xuất hiện,B1
Apply,Áp dụng/Ứng tuyển,B1
Approach,Phương pháp/Tiếp cận,B1
Area,Khu vực,B1
Argue,Tranh luận,B1
Around,Xung quanh,B1
Arrive,Đến nơi,B1
Article,Bài báo/Điều khoản,B1
Artist,Nghệ sĩ,B1
Assume,Cho rằng/Giả định,B1
Attack,Tấn công,B1
Absolute,Tuyệt đối,B2
Academic,Học thuật,B2
Acceptable,Có thể chấp nhận,B2
Accurate,Chính xác,B2
Achieve,Đạt được,B2
Acknowledge,Công nhận,B2
Acquire,Thu nhận/Đạt được,B2
Adapt,Thích nghi,B2
Additional,Bổ sung,B2
Adequate,Đầy đủ/Thỏa đáng,B2
Adjust,Điều chỉnh,B2
Administration,Sự quản trị/Hành chính,B2
Adopt,Nhận nuôi/Áp dụng,B2
Advocate,Người ủng hộ/Biện hộ,B2
Affect,Ảnh hưởng đến,B2
Aggregate,Tổng số/Tập hợp,B2
Alternative,Sự thay thế,B2
Ambiguous,Mơ hồ,B2
Analyze,Phân tích,B2
Anticipate,Dự đoán/Lường trước,B2
Apparent,Rõ ràng/Hiển nhiên,B2
Append,Đính kèm/Thêm vào,B2
Appreciate,Trân trọng/Đánh giá cao,B2
Appropriate,Thích hợp,B2
Approximate,Xấp xỉ,B2
Arbitrary,Tùy ý/Độc đoán,B2
Aspect,Khía cạnh,B2
Assemble,Lắp ráp/Tập hợp,B2
Assess,Đánh giá,B2
Assign,Phân công,B2
Assist,Hỗ trợ,B2
Assure,Cam đoan,B2
Attach,Đính kèm,B2
Attain,Đạt được,B2
Bias,Sự thiên vị,C1
Bulk,Phần lớn/Kích thước lớn,C1
Capable,Có khả năng,C1
Capacity,Sức chứa/Năng lực,C1
Cease,Ngừng/Chấm dứt,C1
Cite,Trích dẫn,C1
Civil,Dân sự/Văn minh,C1
Clause,Điều khoản/Mệnh đề,C1
Code,Mật mã/Quy tắc,C1
Coherent,Mạch lạc,C1
Coincide,Trùng hợp,C1
Collapse,Sụp đổ,C1
Colleague,Đồng nghiệp,C1
Commence,Bắt đầu,C1
Commission,Hội đồng/Tiền hoa hồng,C1
Commit,Cam kết/Phạm (tội),C1
Commodity,Hàng hóa,C1
Communicate,Giao tiếp,C1
Compel,Ép buộc,C1
Compensate,Bồi thường,C1
Compile,Biên soạn/Tổng hợp,C1
Complement,Phần bù/Bổ sung,C1
Complex,Phức tạp,C1
Component,Thành phần,C1
Compound,Hợp chất/Phức hợp,C1
Comprehensive,Toàn diện,C1
Comprise,Bao gồm,C1
Compute,Tính toán,C1
Conceive,Nhận thức/Tưởng tượng,C1
Concentrate,Tập trung,C1
Concept,Khái niệm,C1
Conclude,Kết luận,C1
Concurrent,Đồng thời,C1
Conduct,Tiến hành/Cư xử,C1
Confer,Trao đổi/Ban cho,C1
Confine,Giam cầm/Hạn chế,C1
Confirm,Xác nhận,C1
Conflict,Xung đột,C1
Conform,Tuân thủ/Phù hợp,C1
Consent,Sự đồng ý/Bằng lòng,C1
Tenable,Có thể bảo vệ/Giữ vững được,C2
Tendentious,Có tính thiên vị/Có mục đích,C2
Tenuous,Mỏng manh/Thiếu cơ sở,C2
Timorous,Sợ hãi/Nhút nhát,C2
Tirade,Bài diễn văn chỉ trích dài,C2
Torpor,Sự uể oải/Tê liệt,C2
Tortuous,Quanh co/Uẩn khúc,C2
Tractable,Dễ bảo/Dễ kiểm soát,C2
Transient,Thoáng qua/Nhất thời,C2
Trenchant,Sắc sảo/Đanh thép,C2
Truculent,Ngỗ ngược/Thích sinh sự,C2
Truncate,Cắt cụt,C2
Tumult,Sự ồn ào/Sự hỗn loạn,C2
Turbid,Đục ngầu/Hỗn độn,C2
Turgid,Sưng phù/Khoa trương,C2
Turpitude,Sự đồi bại/Xấu xa,C2
Ubiquitous,Có mặt khắp nơi,C2
Umbrage,Sự phật ý/Sự mếch lòng,C2
Unctuous,Nịnh nọt/Trơn tuột,C2
Undulate,Gợn sóng/Nhấp nhô,C2
Upbraid,Trách mắng/Quở trách,C2
Urbane,Lịch sự/Nhã nhặn,C2
Usurp,Cướp ngôi/Chiếm đoạt,C2
Vacillate,Dao động/Lưỡng lự,C2
Vacuous,Trống rỗng/Ngớ ngẩn,C2
Vagary,Sự thay đổi thất thường,C2
Vapid,Nhạt nhẽo/Vô vị,C2
Vehement,Kịch liệt/Dữ dội,C2
Venal,Dễ mua chuộc/Vụ lợi,C2
Venerate,Tôn kính,C2
Veracity,Tính chân thực,C2
Verbose,Dài dòng/Lắm lời,C2
Vestige,Vết tích/Dấu vết,C2
Vex,Làm bực mình/Làm phiền,C2
Vicarious,Cảm nhận thay/Th 간 tiếp,C2
Vicissitude,Sự thăng trầm,C2
Vilify,Phỉ báng/Nói xấu,C2
Vindicate,Minh oan/Bào chữa,C2
Virtuoso,Bậc thầy/Nghệ sĩ điêu luyện,C2
Vitriolic,Chua chát/Cay độc (lời nói),C2
